Threshold,Accuracy,Precision,Recall,Specificity,F1,BalancedAccuracy
0.58,92.3595505617978,96.3235294117647,81.875,98.2456140350877,88.5135135135135,90.0603070175439
0.59,92.1348314606742,96.2962962962963,81.25,98.2456140350877,88.135593220339,89.7478070175439
0.6,92.1348314606742,96.2962962962963,81.25,98.2456140350877,88.135593220339,89.7478070175439
0.61,92.1348314606742,96.2962962962963,81.25,98.2456140350877,88.135593220339,89.7478070175439
0.62,91.9101123595506,96.2686567164179,80.625,98.2456140350877,87.7551020408163,89.4353070175438
0.63,91.9101123595506,96.969696969697,80,98.5964912280702,87.6712328767123,89.2982456140351
0.64,91.9101123595506,96.969696969697,80,98.5964912280702,87.6712328767123,89.2982456140351
0.65,91.9101123595506,96.969696969697,80,98.5964912280702,87.6712328767123,89.2982456140351
0.66,91.9101123595506,96.969696969697,80,98.5964912280702,87.6712328767123,89.2982456140351
0.67,91.9101123595506,96.969696969697,80,98.5964912280702,87.6712328767123,89.2982456140351
0.68,91.685393258427,96.9465648854962,79.375,98.5964912280702,87.2852233676976,88.9857456140351
0.69,91.4606741573034,96.9230769230769,78.75,98.5964912280702,86.8965517241379,88.6732456140351
0.7,91.4606741573034,96.9230769230769,78.75,98.5964912280702,86.8965517241379,88.6732456140351
0.71,91.4606741573034,96.9230769230769,78.75,98.5964912280702,86.8965517241379,88.6732456140351
0.72,91.4606741573034,96.9230769230769,78.75,98.5964912280702,86.8965517241379,88.6732456140351
0.73,91.2359550561798,96.8992248062015,78.125,98.5964912280702,86.5051903114187,88.3607456140351
0.74,91.0112359550562,96.875,77.5,98.5964912280702,86.1111111111111,88.0482456140351
0.75,90.7865168539326,96.8503937007874,76.875,98.5964912280702,85.7142857142857,87.7357456140351
0.76,90.7865168539326,97.6,76.25,98.9473684210526,85.6140350877193,87.5986842105263
0.77,90.1123595505618,97.5409836065574,74.375,98.9473684210526,84.3971631205674,86.6611842105263
0.78,89.8876404494382,97.5206611570248,73.75,98.9473684210526,83.9857651245552,86.3486842105263
0.79,89.8876404494382,97.5206611570248,73.75,98.9473684210526,83.9857651245552,86.3486842105263
0.8,89.8876404494382,97.5206611570248,73.75,98.9473684210526,83.9857651245552,86.3486842105263
0.81,89.8876404494382,97.5206611570248,73.75,98.9473684210526,83.9857651245552,86.3486842105263
0.82,89.8876404494382,97.5206611570248,73.75,98.9473684210526,83.9857651245552,86.3486842105263
0.83,89.6629213483146,97.5,73.125,98.9473684210526,83.5714285714286,86.0361842105263
0.84,89.6629213483146,97.5,73.125,98.9473684210526,83.5714285714286,86.0361842105263
0.85,88.9887640449438,97.4358974358974,71.25,98.9473684210526,82.3104693140794,85.0986842105263
0.86,88.9887640449438,97.4358974358974,71.25,98.9473684210526,82.3104693140794,85.0986842105263
0.87,88.5393258426966,97.3913043478261,70,98.9473684210526,81.4545454545455,84.4736842105263
0.88,88.314606741573,97.3684210526316,69.375,98.9473684210526,81.021897810219,84.1611842105263
0.89,87.6404494382023,97.2972972972973,67.5,98.9473684210526,79.7047970479705,83.2236842105263
0.9,87.6404494382023,97.2972972972973,67.5,98.9473684210526,79.7047970479705,83.2236842105263
